#! FIELDS time dend en p.bias p.force2
 0.000000   3.9102 -39.0118 -17.5957  20.2500
 5.000000   4.2608 -45.8550 -19.1736  20.2500
 10.000000   4.0001 -41.5162 -18.0003  20.2500
 15.000000   4.9668 -33.2877 -22.3507  20.2500
 20.000000   4.7204 -38.1675 -21.2419  20.2500
 25.000000   4.3950 -33.4994 -19.7775  20.2500
 30.000000   4.3512 -45.1353 -19.5803  20.2500
 35.000000   5.0952 -41.0887 -22.9285  20.2500
 40.000000   4.9991 -38.8334 -22.4959  20.2500
 45.000000   5.0128 -35.6937 -22.5576  20.2500
 50.000000   7.3074 -12.2796 -32.8833  20.2500
 55.000000   6.2791 -19.3597 -28.2560  20.2500
 60.000000   6.7114 -18.0385 -30.2014  20.2500
 65.000000   4.9473 -40.6131 -22.2628  20.2500
 70.000000   5.5399 -24.8428 -24.9297  20.2500
 75.000000   4.7218 -43.7942 -21.2482  20.2500
 80.000000   4.7284 -37.6226 -21.2776  20.2500
 85.000000   4.4184 -40.2920 -19.8828  20.2500
 90.000000   4.6224 -34.4116 -20.8008  20.2500
 95.000000   4.7784 -42.0198 -21.5028  20.2500
 100.000000   4.8333 -32.6664 -21.7499  20.2500
 105.000000   4.2032 -38.7954 -18.9144  20.2500
 110.000000   4.5017 -38.5654 -20.2579  20.2500
 115.000000   4.8948 -43.3120 -22.0264  20.2500
 120.000000   4.3287 -46.8277 -19.4790  20.2500
 125.000000   5.0880 -37.6807 -22.8962  20.2500
 130.000000   6.2757 -20.2068 -28.2404  20.2500
 135.000000   4.2269 -46.2122 -19.0211  20.2500
 140.000000   4.7631 -30.8790 -21.4340  20.2500
 145.000000   5.0771 -38.4855 -22.8468  20.2500
 150.000000   4.3674 -41.4633 -19.6532  20.2500
 155.000000   4.4109 -40.9531 -19.8492  20.2500
 160.000000   4.8440 -38.7376 -21.7981  20.2500
 165.000000   4.7840 -37.8833 -21.5279  20.2500
 170.000000   4.8054 -39.2116 -21.6242  20.2500
 175.000000   4.6506 -41.1111 -20.9277  20.2500
 180.000000   5.1553 -27.2874 -23.1989  20.2500
 185.000000   4.7296 -42.5429 -21.2834  20.2500
 190.000000   4.6610 -40.8303 -20.9746  20.2500
 195.000000   4.7537 -38.4539 -21.3915  20.2500
 200.000000   4.4394 -44.4931 -19.9773  20.2500
 205.000000   5.2576 -30.3793 -23.6592  20.2500
 210.000000   4.3654 -32.1669 -19.6443  20.2500
 215.000000   4.8114 -42.4247 -21.6514  20.2500
 220.000000   5.1020 -35.8845 -22.9592  20.2500
 225.000000   5.1665 -40.6813 -23.2494  20.2500
 230.000000   4.0508 -38.3579 -18.2285  20.2500
 235.000000   5.0597 -44.2002 -22.7688  20.2500
 240.000000   4.6611 -36.9201 -20.9751  20.2500
 245.000000   4.8992 -45.7691 -22.0462  20.2500
 250.000000   4.4040 -36.0606 -19.8178  20.2500
 255.000000   5.9813 -14.4987 -26.9157  20.2500
 260.000000   4.4520 -34.4799 -20.0341  20.2500
 265.000000   4.5656 -40.1964 -20.5452  20.2500
 270.000000   4.6670 -34.8779 -21.0016  20.2500
 275.000000   4.2907 -43.6301 -19.3081  20.2500
 280.000000   5.0494 -36.3015 -22.7225  20.2500
 285.000000   5.0401 -41.6834 -22.6803  20.2500
 290.000000   4.9849 -36.8918 -22.4322  20.2500
 295.000000   4.4254 -43.4829 -19.9141  20.2500
 300.000000   4.4253 -44.1888 -19.9138  20.2500
 305.000000   4.3774 -42.9874 -19.6984  20.2500
 310.000000   4.6805 -39.6110 -21.0621  20.2500
 315.000000   4.6105 -41.9829 -20.7473  20.2500
 320.000000   4.5126 -36.1462 -20.3067  20.2500
 325.000000   3.8854 -41.9217 -17.4844  20.2500
 330.000000   4.8435 -41.2161 -21.7959  20.2500
 335.000000   4.6630 -39.7865 -20.9836  20.2500
 340.000000   4.2603 -44.9276 -19.1711  20.2500
 345.000000   4.8871 -45.4591 -21.9918  20.2500
 350.000000   4.3857 -42.4576 -19.7359  20.2500
 355.000000   4.4465 -41.4467 -20.0094  20.2500
 360.000000   5.1094 -28.8432 -22.9925  20.2500
 365.000000   4.2437 -44.9210 -19.0966  20.2500
 370.000000   4.9256 -35.8648 -22.1650  20.2500
 375.000000   4.3872 -46.1786 -19.7423  20.2500
 380.000000   4.7077 -40.0981 -21.1848  20.2500
 385.000000   4.5338 -43.6058 -20.4023  20.2500
 390.000000   4.4928 -42.3975 -20.2174  20.2500
 395.000000   4.7578 -38.2851 -21.4101  20.2500
 400.000000   4.6249 -38.1325 -20.8119  20.2500
 405.000000   4.6222 -39.7695 -20.7999  20.2500
 410.000000   4.8696 -37.5454 -21.9130  20.2500
 415.000000   4.3864 -41.9723 -19.7388  20.2500
 420.000000   4.5279 -39.1476 -20.3755  20.2500
 425.000000   4.6858 -46.9412 -21.0859  20.2500
 430.000000   4.5623 -40.4907 -20.5301  20.2500
 435.000000   4.9903 -39.6121 -22.4562  20.2500
 440.000000   4.3623 -41.4832 -19.6302  20.2500
 445.000000   4.8227 -44.9633 -21.7020  20.2500
 450.000000   4.4237 -41.7875 -19.9068  20.2500
 455.000000   4.6434 -41.1444 -20.8955  20.2500
 460.000000   4.1044 -44.0307 -18.4699  20.2500
 465.000000   4.8759 -43.4824 -21.9414  20.2500
 470.000000   4.4608 -45.0924 -20.0737  20.2500
 475.000000   4.5951 -34.0335 -20.6777  20.2500
 480.000000   5.0556 -37.5941 -22.7501  20.2500
 485.000000   5.1691 -34.9936 -23.2608  20.2500
 490.000000   5.0121 -36.2453 -22.5544  20.2500
